Date,Opponent,Location,Points For,Points Against
2017-11-25,Georgia,Home,7,38
2017-11-18,Duke,Away,20,43
2017-11-11,Virginia Tech,Home,28,22
2017-11-04,Virginia,Away,36,40
2017-10-28,Clemson,Away,10,24
2017-10-21,Wake Forest,Home,38,24
2017-10-14,Miami-FL,Away,24,25
2017-09-30,North Carolina,Home,33,7
2017-09-23,Pittsburgh,Home,35,17
2017-09-09,Jacksonville State,Home,37,10
2017-09-04,Tennessee,Neutral,41,42
2016-12-31,Kentucky,Neutral,33,18
2016-11-26,Georgia,Away,28,27
2016-11-19,Virginia,Home,31,17
2016-11-12,Virginia Tech,Away,30,20
2016-11-05,North Carolina,Away,20,48
2016-10-29,Duke,Home,38,35
2016-10-15,Georgia Southern,Home,35,24
2016-10-08,Pittsburgh,Away,34,37
2016-10-01,Miami-FL,Home,21,35
2016-09-22,Clemson,Home,7,26
2016-09-17,Vanderbilt,Home,38,7
2016-09-10,Mercer,Home,35,10
2016-09-03,Boston College,Neutral,17,14
2015-11-28,Georgia,Home,7,13
2015-11-21,Miami-FL,Away,21,38
2015-11-12,Virginia Tech,Home,21,23
2015-10-31,Virginia,Away,21,27
2015-10-24,Florida State,Home,22,16
2015-10-17,Pittsburgh,Home,28,31
2015-10-10,Clemson,Away,24,43
2015-10-03,North Carolina,Home,31,38
2015-09-26,Duke,Away,20,34
2015-09-19,Notre Dame,Away,22,30
2015-09-12,Tulane,Home,65,10
2015-09-03,Alcorn State,Home,69,6
2014-12-31,Mississippi State,Neutral,49,34
2014-12-06,Florida State,Neutral,35,37
2014-11-29,Georgia,Away,30,24
2014-11-15,Clemson,Home,28,6
2014-11-08,North Carolina State,Away,56,23
2014-11-01,Virginia,Home,35,10
2014-10-25,Pittsburgh,Away,56,28
2014-10-18,North Carolina,Away,43,48
2014-10-11,Duke,Home,25,31
2014-10-04,Miami-FL,Home,28,17
2014-09-20,Virginia Tech,Away,27,24
2014-09-13,Georgia Southern,Home,42,38
2014-09-06,Tulane,Away,38,21
2014-08-30,Wofford,Home,38,19
2013-12-30,Mississippi,Neutral,17,25
2013-11-30,Georgia,Home,34,41
2013-11-23,Alabama A&M,Home,66,7
2013-11-14,Clemson,Away,31,55
2013-11-02,Pittsburgh,Home,21,10
2013-10-26,Virginia,Away,35,25
2013-10-19,Syracuse,Home,56,0
2013-10-12,Brigham Young,Away,20,38
2013-10-05,Miami-FL,Away,30,45
2013-09-26,Virginia Tech,Home,10,17
2013-09-21,North Carolina,Home,28,20
2013-09-14,Duke,Away,38,14
2013-08-31,Elon,Home,70,0
2012-12-31,Southern California,Neutral,21,7
2012-12-01,Florida State,Neutral,15,21
2012-11-24,Georgia,Away,10,42
2012-11-17,Duke,Home,42,24
2012-11-10,North Carolina,Away,68,50
2012-11-03,Maryland,Away,33,13
2012-10-27,Brigham Young,Home,17,41
2012-10-20,Boston College,Home,37,17
2012-10-06,Clemson,Away,31,47
2012-09-29,Middle Tennessee State,Home,28,49
2012-09-22,Miami-FL,Home,36,42
2012-09-15,Virginia,Home,56,20
2012-09-08,Presbyterian,Home,59,3
2012-09-03,Virginia Tech,Away,17,20
2011-12-31,Utah,Neutral,27,30
2011-11-26,Georgia,Home,17,31
2011-11-19,Duke,Away,38,31
2011-11-10,Virginia Tech,Home,26,37
2011-10-29,Clemson,Home,31,17
2011-10-22,Miami-FL,Away,7,24
2011-10-15,Virginia,Away,21,24
2011-10-08,Maryland,Home,21,16
2011-10-01,North Carolina State,Away,45,35
2011-09-24,North Carolina,Home,35,28
2011-09-17,Kansas,Home,66,24
2011-09-10,Middle Tennessee State,Away,49,21
2011-09-01,Western Carolina,Home,63,21
2010-12-27,Air Force,Neutral,7,14
2010-11-27,Georgia,Away,34,42
2010-11-20,Duke,Home,30,20
2010-11-13,Miami-FL,Home,10,35
2010-11-04,Virginia Tech,Away,21,28
2010-10-23,Clemson,Away,13,27
2010-10-16,Middle Tennessee State,Home,42,14
2010-10-09,Virginia,Home,33,21
2010-10-02,Wake Forest,Away,24,20
2010-09-25,North Carolina State,Home,28,45
2010-09-18,North Carolina,Away,30,24
2010-09-11,Kansas,Away,25,28
2010-09-04,South Carolina State,Home,41,10
2009-12-05,Clemson,Neutral,39,34
2009-11-28,Georgia,Home,24,30
2009-11-14,Duke,Away,49,10
2009-11-07,Wake Forest,Home,30,27
2009-10-31,Vanderbilt,Away,56,31
2009-10-24,Virginia,Away,34,9
2009-10-17,Virginia Tech,Home,28,23
2009-10-10,Florida State,Away,49,44
2009-10-03,Mississippi State,Away,42,31
2009-09-26,North Carolina,Home,24,7
2009-09-17,Miami-FL,Away,17,33
2009-09-10,Clemson,Home,30,27
2009-09-05,Jacksonville State,Home,37,17
